compound_name,pubchem_cid,smiles,family,source,is_mida
CID_240,240,O=Cc1ccccc1,Herbicides,classification_hnid_4500088,False
CID_259,259,[Br-],Herbicides,classification_hnid_4500088,False
CID_456,456,NC(=O)NC(=O)C(=O)O,Herbicides,classification_hnid_4500088,False
CID_807,807,II,Herbicides,classification_hnid_4500088,False
CID_949,949,CN(C)c1ccccc1,Herbicides,classification_hnid_4500088,False
CID_1003,1003,O=P([O-])(O)O,Herbicides,classification_hnid_4500088,False
CID_1049,1049,c1ccncc1,Herbicides,classification_hnid_4500088,False
CID_1133,1133,O=C(O)CS,Herbicides,classification_hnid_4500088,False
CID_1567,1567,OCCS,Herbicides,classification_hnid_4500088,False
CID_1639,1639,Nc1ncn[nH]1,Herbicides,classification_hnid_4500088,False
CID_1988,1988,CCOCN(C(=O)CCl)c1c(C)cccc1CC,Herbicides,classification_hnid_4500088,False
CID_2140,2140,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,Herbicides,classification_hnid_4500088,False
CID_2265,2265,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,Herbicides,classification_hnid_4500088,False
CID_2519,2519,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Herbicides,classification_hnid_4500088,False
CID_2537,2537,CC12CCC(CC1=O)C2(C)C,Herbicides,classification_hnid_4500088,False
CID_2576,2576,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,Herbicides,classification_hnid_4500088,False
CID_2680,2680,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1,Herbicides,classification_hnid_4500088,False
CID_2780,2780,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,Herbicides,classification_hnid_4500088,False
CID_3016,3016,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Herbicides,classification_hnid_4500088,False
CID_3289,3289,CCCSP(=O)(OCC)SCCC,Herbicides,classification_hnid_4500088,False
CID_3440,3440,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Herbicides,classification_hnid_4500088,False
CID_3559,3559,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Herbicides,classification_hnid_4500088,False
CID_3715,3715,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Herbicides,classification_hnid_4500088,False
CID_4064,4064,CCCC(C)(COC(N)=O)COC(N)=O,Herbicides,classification_hnid_4500088,False
CID_4510,4510,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],Herbicides,classification_hnid_4500088,False
CID_4581,4581,NCC(O)c1ccc(O)cc1,Herbicides,classification_hnid_4500088,False
CID_4610,4610,NC1CCCCC1N,Herbicides,classification_hnid_4500088,False
CID_4756,4756,Nc1ccc(N=Nc2ccccc2)c(N)n1,Herbicides,classification_hnid_4500088,False
CID_4781,4781,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,classification_hnid_4500088,False
CID_4933,4933,CCC(=O)Nc1ccc(Cl)c(Cl)c1,Herbicides,classification_hnid_4500088,False
CID_4965,4965,COc1ccc(C(=O)CBr)cc1,Herbicides,classification_hnid_4500088,False
