compound_name,pubchem_cid,smiles,family,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
CID_887,887,CO,Pyrethroids,CHEMBL14688,sqlite_smiles,ok,1,METHYL ALCOHOL
CID_892,892,OC1C(O)C(O)C(O)C(O)C1O,Pyrethroids,,,not_found,0,
CID_935,935,[Ni],Pyrethroids,,,not_found,0,
CID_945,945,N=O,Pyrethroids,CHEMBL1234765,sqlite_smiles,ok,1,HNO
CID_947,947,N#N,Pyrethroids,CHEMBL142438,sqlite_smiles,ok,1,NITROGEN
CID_962,962,O,Pyrethroids,CHEMBL1098659,sqlite_smiles,ok,1,WATER
CID_977,977,O=O,Pyrethroids,CHEMBL1234886,sqlite_smiles,ok,1,OXYGEN
CID_992,992,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Pyrethroids,CHEMBL75967,sqlite_smiles,ok,1,PENTACHLOROPHENOL
CID_996,996,Oc1ccccc1,Pyrethroids,CHEMBL14060,sqlite_smiles,ok,1,PHENOL
CID_1004,1004,O=P(O)(O)O,Pyrethroids,CHEMBL1187,sqlite_smiles,ok,1,PHOSPHORIC ACID
CID_1023,1023,O=P(O)(O)OP(=O)(O)O,Pyrethroids,CHEMBL1160571,sqlite_smiles,ok,1,PYROPHOSPHORIC ACID
CID_1030,1030,CC(O)CO,Pyrethroids,CHEMBL286398,sqlite_smiles,ok,1,PROPYLENE GLYCOL
CID_1031,1031,CCCO,Pyrethroids,CHEMBL14687,sqlite_smiles,ok,1,PROPANOL
CID_1065,1065,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,Pyrethroids,CHEMBL15088,sqlite_smiles,ok,1,
CID_1070,1070,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,Pyrethroids,,,not_found,0,
CID_1084,1084,O=S([O-])([O-])=S,Pyrethroids,,,not_found,0,
CID_1110,1110,O=C(O)CCC(=O)O,Pyrethroids,CHEMBL576,sqlite_smiles,ok,1,SUCCINIC ACID
CID_1118,1118,O=S(=O)(O)O,Pyrethroids,CHEMBL572964,sqlite_smiles,ok,1,SULFURIC ACID
CID_1130,1130,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Pyrethroids,CHEMBL1547,sqlite_smiles,ok,1,THIAMINE ION
CID_1140,1140,Cc1ccccc1,Pyrethroids,CHEMBL9113,sqlite_smiles,ok,1,TOLUENE
CID_1143,1143,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Pyrethroids,,,not_found,0,
CID_1176,1176,NC(N)=O,Pyrethroids,CHEMBL985,sqlite_smiles,ok,1,UREA
