chembl_id,compound_name,family,smiles,n_activities_total,n_censored,mw_freebase,alogp,psa,hba,hbd,aromatic_rings,rtb,num_ro5_violations,heavy_atoms,pchembl_median_binding,pchembl_std_binding,pchembl_iqr_binding,n_activities_binding,target_inestable,reliability_tier,pct_active,pct_active_note,mixed_endpoint_class,endpoint_types_seen,has_quantitative_potency,cluster
CHEMBL266158,CID_1049,Herbicides,c1ccncc1,12,0,79.1,1.08,12.89,1,0,1,0,0,6,6.7,1.2819988732877696,1.4000000000000004,10,True,alto,0.1,derivado de pchembl >= 6 (no independiente),False,EC50|IC50|Inhibition|Kd|Ki|Potency,True,1
CHEMBL275626,CID_527,Carbamates,CCC=O,9,1,58.08,0.6,17.07,1,0,0,1,0,4,4.975,1.6524602869660738,1.3874999999999993,4,True,medio,0.25,derivado de pchembl >= 6 (no independiente),True,LD50|Potency,True,1
CHEMBL277500,CID_241,Azole_fungicides,c1ccccc1,15,4,78.11,1.69,0.0,0,0,1,0,0,6,5.0,1.227481613349508,0.5299999999999994,9,True,medio,0.1111111111111111,derivado de pchembl >= 6 (no independiente),True,EC50|Kd|LC50|Potency,True,1
CHEMBL281435,CID_9,Carbamates,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,3,0,260.13,-3.72,167.91,7,7,0,2,1,16,4.37,0.3401960219246154,0.3199999999999994,3,False,medio,0.0,derivado de pchembl >= 6 (no independiente),False,IC50|Ki,True,0
CHEMBL284116,CID_138,Triazines,NCCCCC(=O)O,13,4,117.15,0.2,63.32,2,2,0,4,0,8,5.04,0.3403470451041276,0.0099999999999997,9,False,medio,0.0,derivado de pchembl >= 6 (no independiente),False,IC50|Ki|Potency,True,1
CHEMBL286398,CID_1030,Pyrethroids,CC(O)CO,41,38,76.1,-0.64,40.46,2,2,0,1,0,5,5.4,0.5162686639079829,0.4700000000000006,3,False,medio,0.3333333333333333,derivado de pchembl >= 6 (no independiente),False,Potency,True,1
CHEMBL288114,CID_370,Azole_fungicides,O=C(O)c1cc(O)c(O)c(O)c1,296,75,170.12,0.5,97.99,4,4,1,1,0,12,5.0,0.5692313215455984,0.3500000000000005,159,False,alto,0.0691823899371069,derivado de pchembl >= 6 (no independiente),True,EC50|ED50|IC50|Inhibition|Kd|Ki|LC50|MIC|Potency,True,0
CHEMBL297569,CID_239,Organophosphates,NCCC(=O)O,20,2,89.09,-0.58,63.32,2,2,0,2,0,6,5.52,0.5087881282784849,0.8599999999999994,18,False,alto,0.0,derivado de pchembl >= 6 (no independiente),False,EC50|IC50|Ki|Potency,True,1
CHEMBL325109,CID_2780,Herbicides,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,109,54,373.88,3.33,67.59,4,2,2,5,0,26,6.029999999999999,1.3496128957177036,2.710000000000001,44,True,alto,0.5227272727272727,derivado de pchembl >= 6 (no independiente),True,AC50|ED50|IC50|Inhibition|Ki|Potency,True,0
CHEMBL346516,Methyl parathion,mixed,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,38,13,263.21,2.49,70.83,6,0,1,5,0,16,4.7,0.3787097208041787,0.5250000000000004,20,False,alto,0.0,derivado de pchembl >= 6 (no independiente),True,Inhibition|LC50|Potency,True,0
CHEMBL35,CID_3440,Herbicides,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,244,170,330.75,1.89,122.63,5,3,2,5,0,21,5.57,0.9637822723514594,1.754999999999999,44,False,alto,0.3636363636363636,derivado de pchembl >= 6 (no independiente),True,AC50|EC50|ED50|IC50|Inhibition|Kd|Ki|Potency,True,0
CHEMBL37537,CID_72,Triazines,O=C(O)c1ccc(O)c(O)c1,132,28,154.12,0.8,77.76,3,3,1,1,0,11,5.04,0.6267702765701617,0.6924999999999999,50,False,alto,0.08,derivado de pchembl >= 6 (no independiente),True,EC50|IC50|Inhibition|Kd|Ki|MIC|Potency,True,1
CHEMBL39879,CID_1474,Pyrethroids,c1ccc(-c2ccccn2)nc1,80,18,156.19,2.14,25.78,2,0,2,1,0,12,4.64,1.0022177511995538,0.6200000000000001,43,True,alto,0.1162790697674418,derivado de pchembl >= 6 (no independiente),True,AC50|EC50|IC50|Inhibition|Ki|MIC|Potency,True,1
CHEMBL416,Deltamethrin,mixed,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,270,131,216.19,2.55,52.58,4,0,3,1,0,16,5.27,0.7415963094614862,0.92,88,False,alto,0.1704545454545454,derivado de pchembl >= 6 (no independiente),True,AC50|EC50|IC50|IC90|Inhibition|Kd|Ki|LC50|MIC|Potency,True,1
CHEMBL424,CID_338,Pyrethroids,O=C(O)c1ccccc1O,136,25,138.12,1.09,57.53,2,2,1,1,0,10,4.75,0.7968408409554174,0.0,57,False,alto,0.0701754385964912,derivado de pchembl >= 6 (no independiente),True,EC50|ED50|IC50|Inhibition|Kd|Ki|LC50|MIC|Potency,True,1
CHEMBL441343,CID_135,Triazines,O=C(O)c1ccc(O)cc1,74,18,138.12,1.09,57.53,2,2,1,1,0,10,5.04,0.758588219626776,0.1800000000000006,46,False,alto,0.0869565217391304,derivado de pchembl >= 6 (no independiente),True,EC50|IC50|Inhibition|Ki|MIC,True,1
CHEMBL445304,CID_86,Triazines,Nc1c(O)cccc1C(=O)O,21,13,153.14,0.67,83.55,3,3,1,1,0,11,5.175,0.5467027790046696,0.7874999999999996,8,False,medio,0.0,derivado de pchembl >= 6 (no independiente),False,AC50|EC50|IC50,True,1
CHEMBL457299,CID_174,Carbamates,OCCO,5,2,62.07,-1.03,40.46,2,2,0,1,0,4,4.8,1.0969655114602892,0.9500000000000002,3,True,medio,0.3333333333333333,derivado de pchembl >= 6 (no independiente),False,Potency,True,1
CHEMBL461,CID_464,Carbamates,O=C(O)CNC(=O)c1ccccc1,26,7,179.17,0.5,66.4,2,2,1,3,0,13,4.72,0.8987904978215775,0.3799999999999999,13,False,alto,0.1538461538461538,derivado de pchembl >= 6 (no independiente),False,IC50|Inhibition|Ki|Potency,True,1
CHEMBL463210,Chlorpyrifos,mixed,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,106,35,350.59,4.72,40.58,5,0,1,6,0,18,4.5,0.7747946304457646,0.8999999999999995,23,False,alto,0.0434782608695652,derivado de pchembl >= 6 (no independiente),True,IC50|Inhibition|LC50|LD50|Potency,True,0
CHEMBL468167,Chlorothalonil,mixed,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,130,44,265.91,4.04,47.58,2,0,1,0,0,14,5.265,0.3269741845267585,0.1350000000000006,49,False,alto,0.0204081632653061,derivado de pchembl >= 6 (no independiente),True,EC50|ED50|IC50|Inhibition|MIC|Potency,True,1
